country,OECD,id,weight,sex,grade,computer,software,internet,addit_time_math,addit_time_science,parent_support,parent_status,want_best_grades,want_best_student,test_anxiety,enjoy_cooperation,sense_of_belonging,parent_support_emotional,HOMESCH,ENTUSE,ICTHOME,ICTSCH,wealth,parent_edu,learning_mins,escs_index,teacher_support_science,teacher_direct_science,inquiry_based_science,science_self_efficacy,math,reading,science,learning_hours,region
United States,Yes,84005306,675.9845,Female,10,Yes,Yes,Yes,13,15,Strongly agree,Strongly agree,Strongly agree,Agree,1.2918,-0.2882,1.5043,1.0991,NA,NA,NA,NA,-0.2091,14,NA,-0.0773,0.2725,2.0781,2.3653,0.3155,352.72360000000003,381.6157,378.9018,NA,N. America
United States,Yes,84010552,535.6319,Female,11,Yes,No,Yes,5,8,Strongly agree,Disagree,Agree,Agree,1.0461,-0.2882,-1.2792,0.1711,NA,NA,NA,NA,0.0349,16,1800,0.0233,-0.2618,-0.0718,0.2082,-1.0524,458.50419999999997,503.5385,551.8525,30,N. America
United States,Yes,84001056,407.7046,Female,10,Yes,Yes,Yes,4,2,Strongly agree,Agree,Strongly agree,Agree,0.7721,1.164,-1.1247,0.3838,NA,NA,NA,NA,1.0448,16,1750,1.2648,0.3719,0.7282,0.4535,1.1704,585.931,664.1715,645.3368,29,N. America
United States,Yes,84000952,652.7259,Female,10,Yes,No,Yes,21,6,Disagree,Strongly disagree,Strongly agree,Agree,0.5209,-1.0917,-0.5152,-1.6532,NA,NA,NA,NA,-0.0489,16,NA,0.5251,-0.2618,-1.315,0.723,0.4325,487,529.3395,561.3885,NA,N. America
United States,Yes,84000442,550.3598,Female,10,Yes,Yes,Yes,14,9,Strongly agree,Strongly agree,Strongly agree,Strongly agree,-2.505,2.2879,2.5915,1.0991,NA,NA,NA,NA,0.8448,16,NA,0.8471,1.4475,2.0781,0.416,-0.2499,445.9754,434.6855,444.2794,NA,N. America
United States,Yes,84008772,674.2598,Male,10,Yes,Yes,Yes,3,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,-0.0908,-0.2882,2.5915,1.0991,NA,NA,NA,NA,0.677,16,1900,0.7334,NA,NA,NA,0.3155,412.0081,376.4595,414.1887,32,N. America
United States,Yes,84006704,704.448,Male,9,No,No,No,NA,30,Agree,Agree,Agree,Disagree,-0.2039,-1.1533,-0.7985,-1.5692,NA,NA,NA,NA,-1.9769,14,2475,-1.537,1.4475,-0.9558,1.422,0.7109,338.1829,277.2783,324.47159999999997,41,N. America
United States,Yes,84004155,540.6723,Male,9,Yes,Yes,Yes,NA,NA,Strongly agree,Strongly agree,Agree,Agree,-0.2479,-0.9124,-1.7916,-0.2495,NA,NA,NA,NA,0.8646,9,NA,-1.1647,NA,NA,NA,NA,322.2749,285.6296,299.4867,NA,N. America
United States,Yes,84007004,823.2156,Female,10,Yes,No,Yes,7,8,Strongly agree,Agree,Strongly agree,Disagree,-0.0208,-0.3352,0.7246,0.1018,NA,NA,NA,NA,0.479,12,2200,-0.1713,0.4124,2.0781,0.9161,0.1278,514.5835,592.2688,552.5766,37,N. America
United States,Yes,84003019,550.9441,Male,9,Yes,No,Yes,2,5,Strongly agree,Disagree,Disagree,Disagree,1.0461,0.9455,-0.9909,-0.2495,NA,NA,NA,NA,1.9031,14,2100,0.6739,NA,NA,NA,-0.1982,387.76030000000003,417.3823,420.4647,35,N. America
United States,Yes,84006126,940.7051,Female,10,Yes,Yes,Yes,5,4,Strongly agree,Agree,Agree,Agree,-0.235,-0.2882,0.6642,1.0991,NA,NA,NA,NA,0.5496,16,1800,1.0591,1.4475,1.2171,3.1093,-0.7377,361.84839999999997,439.4175,402.9599,30,N. America
United States,Yes,84008036,771.8754,Male,11,Yes,No,Yes,3,4,Agree,Disagree,Agree,Disagree,-0.5306,-0.2882,-0.4725,-0.889,NA,NA,NA,NA,-0.4114,14,1925,-0.6835,0.9133,-0.2019,-0.5298,-0.2384,515.0285,526.3279,555.6551000000001,32,N. America
United States,Yes,84002910,872.9609,Female,10,Yes,No,Yes,4,4,Strongly agree,Strongly agree,Strongly agree,Agree,-0.2154,-0.2882,-0.3627,-0.2495,NA,NA,NA,NA,0.5003,12,1600,0.1111,0.0015,-0.2928,-0.6599,-0.5801,470.1055,439.505,446.5628,27,N. America
United States,Yes,84006059,771.8754,Male,10,No,No,No,5,5,Agree,Strongly disagree,Strongly agree,Agree,0.7616,-0.4374,-0.3381,-0.889,NA,NA,NA,NA,-0.8805,16,1500,-0.2957,-0.3225,0.4505,-0.1665,0.1281,375.5955,408.9678,384.9512,25,N. America
United States,Yes,84003289,1171.942,Female,10,No,No,Yes,1,0,Strongly agree,Disagree,Strongly agree,Disagree,0.2662,-0.2882,-1.1407,0.1018,NA,NA,NA,NA,0.2148,14,1625,-0.4919,0.0322,0.4505,0.5642,0.0855,462.9883,427.7744,482.8668,27,N. America
United States,Yes,84000630,569.9708,Male,10,Yes,No,Yes,1,1,Strongly agree,Agree,Strongly agree,Agree,-0.6871,-0.2882,0.0248,1.0991,NA,NA,NA,NA,0.2937,12,3000,-0.3205,-1.0718,-0.0804,0.4311,3.2775,614.9244,624.9798,659.1385,50,N. America
United States,Yes,84000623,489.1822,Female,11,Yes,Yes,Yes,5,5,Agree,Agree,Agree,Agree,-0.2067,-0.7876,0.3171,-0.889,NA,NA,NA,NA,-0.1573,12,2100,-0.5317,0.9209,-0.3693,-0.2367,0.1514,431.1928,426.2426,432.719,35,N. America
United States,Yes,84008616,532.8423,Female,10,Yes,Yes,Yes,1,3,Agree,Disagree,Strongly agree,Strongly agree,1.8135,1.4116,-0.4725,-0.889,NA,NA,NA,NA,-0.0638,16,2160,0.5071,-1.9635,-0.4357,-1.3123,-1.7679,484.365,552.7939,527.529,36,N. America
United States,Yes,84000396,517.2699,Male,10,Yes,Yes,Yes,NA,NA,Agree,Agree,Strongly agree,Agree,-0.4331,-1.0775,-0.6335,-1.8857,NA,NA,NA,NA,1.2487,12,NA,-0.4322,0.9133,0.4587,0.1661,3.2775,472.5593,525.9528,521.6388000000001,NA,N. America
United States,Yes,84000090,644.264,Male,10,No,No,Yes,2,2,Agree,Agree,Agree,NA,0.3813,-1.4719,-1.1467,-1.5266,NA,NA,NA,NA,-0.4919,12,NA,-0.8476,0.5731,0.314,0.7414,-1.0524,295.0191,276.2799,354.5628,NA,N. America
United States,Yes,84005316,666.7976,Male,11,Yes,No,Yes,20,11,Strongly agree,Disagree,Agree,Agree,0.6999,2.2879,1.5611,0.1018,NA,NA,NA,NA,-0.6286,12,2200,-0.9066,0.9209,0.6556,0.54990000000000006,1.4958,458.9757,498.23040000000003,494.6904,37,N. America
United States,Yes,84000053,511.319,Female,10,Yes,Yes,Yes,5,5,Strongly agree,Agree,Agree,Strongly agree,1.0496,-1.8363,-0.969,-1.2588,NA,NA,NA,NA,-0.6681,12,2000,-1.1951,-1.3072,-0.2213,-0.2795,0.3155,422.3161,408.9499,428.7149,33,N. America
United States,Yes,84005475,589.7633,Male,11,No,Yes,Yes,6,6,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1.0016,0.4252,1.1245,1.0991,NA,NA,NA,NA,-0.4056,12,1650,-1.325,1.4475,1.0203,0.8824,0.3155,359.3585,348.6548,353.0315,28,N. America
